epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,226.29,1.61133,0.95166,0.99822,0.22096,0.00996169,0.00332056,0.00996169,0.00332056,0.00996169,0.00332056,0.00996169,0.00332056
2,407.32,0.20786,0.99171,0.99969,0.03063,0.0199422,0.0066474,0.0199422,0.0066474,0.0199422,0.0066474,0.0199422,0.0066474
3,568.785,0.09985,0.99458,0.99985,0.01841,0.0298447,0.00994825,0.0298447,0.00994825,0.0298447,0.00994825,0.0298447,0.00994825
4,727.642,0.08942,0.99535,0.99992,0.01551,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,886.759,0.07487,0.9962,0.99992,0.01261,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,1047.07,0.06469,0.99566,1,0.01312,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,1207.9,0.0628,0.99597,1,0.01305,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,1378.58,0.05505,0.99682,1,0.00974,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,1539.94,0.05239,0.99752,1,0.00861,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,1699.51,0.05043,0.99768,1,0.00704,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,1858.47,0.04788,0.99706,1,0.01049,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,2027.45,0.04667,0.99675,1,0.0093,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,2194.13,0.04386,0.9976,1,0.00859,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,2357.21,0.04435,0.99706,1,0.01021,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,2517.52,0.04747,0.99791,1,0.00764,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,2676.8,0.04215,0.99783,1,0.00661,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,2835.97,0.04237,0.99845,1,0.00676,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,2995.94,0.03836,0.99799,1,0.00679,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,3163.47,0.03843,0.99729,1,0.00785,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,3335.94,0.03924,0.99791,0.99992,0.00616,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,3495.95,0.03835,0.99822,1,0.00493,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,3656.48,0.03835,0.99837,1,0.00467,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,3817.08,0.03128,0.99822,1,0.00493,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,3985.27,0.03393,0.99876,1,0.004,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,4149.53,0.03165,0.99853,1,0.00362,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,4311.12,0.02854,0.99892,1,0.00449,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4469.84,0.0285,0.99907,1,0.00335,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,4630.97,0.0268,0.99861,1,0.00418,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,4789.44,0.0286,0.99907,1,0.00298,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
30,4959.64,0.02417,0.99899,1,0.00312,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,5119.67,0.02457,0.99876,1,0.00313,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,5277.28,0.0225,0.99899,1,0.00342,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,5437.35,0.02101,0.99899,1,0.00264,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,5596.28,0.01966,0.99915,1,0.00251,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,5760.61,0.01676,0.99915,1,0.00232,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,5928.25,0.01806,0.99907,1,0.00268,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,6099.94,0.01339,0.99907,1,0.00261,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,6259.16,0.01557,0.99907,1,0.00306,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,6419.65,0.01366,0.99915,1,0.00233,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,6579.89,0.01207,0.9993,1,0.00208,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,6758.53,0.01038,0.99938,1,0.002,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,6933.85,0.01191,0.99938,1,0.00188,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,7092.14,0.01155,0.99946,1,0.00197,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,7249.71,0.01193,0.99946,1,0.00192,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,7407.32,0.00917,0.9993,1,0.00179,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,7572.43,0.00916,0.99946,1,0.00163,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
47,7736.56,0.0094,0.99954,1,0.00158,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
48,7895.3,0.01023,0.99969,1,0.00151,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
49,8053.78,0.00865,0.99954,1,0.0015,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
50,8210.83,0.00774,0.99954,1,0.00149,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
